"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Australia","AUS","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.094","56.124","55.664","56.831","58.167","58.124","57.846","58.171","58.451","59.178","59.037","59.336","59.829","60.043","61.164","61.677","62.344","62.713","61.804","62.002","62.116","61.762","61.283","60.785","61.07","61.175","61.536","62.161","62.547","60.829","62.478","63.699","63.97",
"Austria","AUT","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.93","54.558","54.281","56.969","56.845","55.724","55.43","55.601","56.217","55.957","55.905","56.1","56.323","54.575","55.139","55.833","56.892","57.557","57.109","57.348","57.559","57.672","57.535","57.164","57.113","57.426","57.703","58.297","58.514","57.648","57.2","58.441","58.453",
"Azerbaijan","AZE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.417","72.44","72.368","72.805","73.276","72.628","71.569","70.317","69.208","67.8","66.495","65.23","64.104","62.552","61.719","60.538","57.958","57.314","57.52","57.438","57.839","58.396","58.813","59.626","60.287","61.401","61.924","62.457","65.093","62.649","64.122","66.052","66.258",
"Burundi","BDI","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.724","86.139","85.317","84.627","83.988","83.184","82.373","81.557","80.736","79.957","79.209","78.436","77.549","76.788","75.854","74.952","75.76","76.578","76.863","77.146","77.297","77.45","77.603","77.713","78.11","78.436","78.635","78.749","78.682","77.778","77.903","78.127","78.132",
"Belgium","BEL","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.831","46.305","45.712","45.473","45.81","45.631","45.998","46.111","47.42","48.844","47.745","47.653","47.406","48.201","48.801","48.728","49.592","49.933","49.241","49.588","49.402","49.235","49.045","48.951","48.789","48.951","50.023","50.966","51.475","50.833","51.079","52.036","51.878",
"Benin","BEN","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.955","71.07","71.025","71.001","71.086","71.08","71.164","71.152","71.187","71.209","71.244","71.255","71.224","71.208","71.164","71.163","71.176","71.211","71.183","71.118","69.975","68.969","67.989","66.895","65.608","64.276","63.001","61.818","61.811","61.073","60.015","61.478","61.824",
"Burkina Faso","BFA","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.89","81.249","80.714","79.914","79.302","78.711","78.046","77.298","76.47","75.601","74.79","73.908","73.205","71.842","70.648","70.037","69.503","68.521","67.508","66.687","65.761","64.895","63.856","62.812","62.605","62.481","62.406","62.353","62.279","61.402","61.65","61.958","61.835",
"Bangladesh","BGD","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.853","56.854","56.867","56.891","56.919","56.847","56.709","56.576","56.445","56.316","56.076","55.85","55.635","55.648","55.664","55.985","55.526","55.066","54.605","55.345","54.953","54.564","54.175","54","53.824","53.65","55.781","55.916","56.024","54.946","55.712","55.794","55.727",
"Bulgaria","BGR","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.598","48.423","47.072","48.342","48.51","46.982","45.581","45.602","43.86","42.041","41.137","41.616","43.066","44.464","44.681","46.7","48.981","50.791","49.404","47.902","46.597","46.567","46.925","47.957","49.128","49.293","51.94","52.438","54.187","52.706","52.348","54.183","53.74",
"Bahrain","BHR","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.648","64.629","64.588","64.409","64.333","64.248","64.344","64.5","64.762","65.161","65.61","66.143","66.573","66.835","67.149","67.677","68.442","69.355","70.317","70.944","70.286","70.609","70.671","70.197","70.03","70.434","70.961","71.398","71.493","70.08","70.448","70.881","70.928",
